Total_Distance,Total_Time,Average_Speed,Max_Angle,Min_Angle,Avg_Angle,Average_Deviation,Max_Deviation,Min_Deviation,Total_Deviation,Loop_Count,Final_Kp,Final_Ki,Final_Kd
32.94645327566702,38.30102205276489,0.8601977573934914,0.42907712451930324,6.989477186625237e-05,0.09873971789602216,0.4865666486174035,0.9084278236390141,0.02063540929670034,97.7998963720981,,12.929703372512872,8.24273812568693,7.482083022584313
33.38089040123103,39.81199288368225,0.8384631861750598,0.4559149510632361,2.9230320489403994e-05,0.11202534905271193,0.49038011795680564,0.9280430292314107,0.04685399840937285,93.17222241179307,,13.484981704623438,8.7980164577975,8.037361354694882
32.776548758058915,32.0872015953064,1.0214835550774037,0.3680470428785494,7.837905893559594e-05,0.0850943879048328,0.5063094174427288,0.948761781949443,0.003962541922411876,116.45116601182762,,12,4,1
33.638247738679,32.56100034713745,1.0330839771523253,0.3426259910524778,0.0001471240953572206,0.0914236665007074,0.5191351993277836,0.9499973644639498,0.03048588155932527,121.47763664270137,,12,4,1
33.33382355048063,35.226608991622925,0.94626830412225,0.362336603834589,0.00046055492910701545,0.09132901799774992,0.5304218233065924,0.9467904203028793,0.035084340215708124,124.64912847704922,,12,4,1
33.36362135484297,40.62056875228882,0.8213479618737011,0.37792283661606163,0.0001670494949479462,0.10540660769128665,0.5182167796555842,0.9521938569233368,0.03152696552605776,106.23443982939477,,12,4,1
33.34423235552421,40.97276258468628,0.813814599067009,0.4249710868051437,0.0010947567656196533,0.10426722615841172,0.5162848701995224,0.9495735829665337,0.010539785868707923,104.80582865050306,,12,4,1
33.491305933876454,31.256482362747192,1.0714995227291737,0.4081959282505383,0.000484541268646943,0.08243036262327222,0.5231107989440003,0.948004046084102,0.028828579590251886,134.96258612755207,,12,4,1
33.38002876332929,31.246453046798706,1.0682821731265009,0.335334604847215,0.00015889701506832665,0.08486434415985755,0.5153074135755564,0.9511000562732728,0.029848971207478328,128.8268533938891,,12,4,1
33.32244410100737,30.976548671722412,1.0757313364424765,0.3573399207322523,0.0005375024621381286,0.0833387638012451,0.528643320777344,0.9378484415094336,0.021354988939237856,133.2181168358907,,12,4,1
33.392276810535,30.66185474395752,1.0890494749707065,0.3790788921466559,0.00036235124015338016,0.08328422513470272,0.5133449988942542,0.9501530841824082,0.011310269668458522,130.90297471803484,,12,4,1
33.3590357400625,30.905465602874756,1.079389521863716,0.2860185780582798,0.00011570146287942507,0.08019542940392271,0.5149813358565524,0.9535822241600187,0.016128005911983434,137.5000166736995,,12,4,1
33.37981578947281,30.619593143463135,1.0901456343027518,0.3268586609707036,0.00041370270402651954,0.08030840439231257,0.5216391993954943,0.9506699161958805,0.02409350655172312,135.104552643433,,12,4,1
32.01686963830846,36.8918035030365,0.8678586189388439,0.5158372592351417,7.093599433183329e-05,0.07724615328484083,0.45201289265610306,0.8720324165709172,0.026005579994705513,118.427377875899,,23.375704107949467,13.375704107949481,6.375704107949488
32.750097118639154,39.374250173568726,0.8317643377148994,0.4392654041106576,0.00023925784069822598,0.08266273616813352,0.45720225855568225,0.8532749655515404,0.003400066151982229,123.44460981003421,,23.926161484779133,13.926161484779158,6.92616148477916
32.59820581069706,37.29492521286011,0.8740654559472473,0.5145354667946762,0.00012792277671280772,0.08492960555044143,0.46987773406943506,0.8783900899351577,0.0067821328802814464,126.39711046467804,,23.79188969687467,13.84899814159432,6.884491116891232
