Type,target speed, total_distance,total time,average speed,min_angle,max_angle,avg_angle,min_dev,max_dev,avg_dev,success %, Kp,Ki,Kd
Normal,6,25.53959921183533,56.37368583679199,0.45304114557588576,2.0776033451852527e-05,0.4129222569025828,0.06361094115586585,0.02541020690384013,0.9453975502456837,0.5061251565574959,S,0.01,0.002,"0.0006 "
Normal,6,23.444006231317715,55.13546371459961,0.42520738290462323,1.5822067408244322e-05,0.32021024066932924,0.06036687249831466,0.022399893089241847,0.8814342164576647,0.5027849166571863,S,0.01,0.002,0.0006
Normal,6,41.766910532511126,89.83195996284485,0.4649448876523035,3.449355037599133e-05,0.42372848244306294,0.062362594722417376,0.008163787886229214,0.9378438998397818,0.46407829189266125,S,0.01,0.002,0.0006
Normal,8,23.719873884811538,42.14533853530884,0.5628113264516625,0.00010068903382620675,0.38359558871457455,0.07045644762475584,0.020973925834745704,1.0181924321595945,0.5444164817445801,F,0.01,0.002,0.0006
Normal,7.5,23.123681855462934,43.22819519042969,0.5349212881453422,0.00010046314041112225,0.29918715118716976,0.06607527289400414,0.010797123880469016,1.0915327083177515,0.5262550128909044,F,0.01,0.002,0.0006
Normal,7.0,54.671274526162115,98.24330306053162,0.5564885628130496,8.987204762345158e-05,0.4999857152754901,0.15572446861384978,0.029066410541997725,1.0968932027939633,0.48099156913627866,F,0.01,0.002,0.0006
Normal,6.5,26.0718782124973,55.80651521682739,0.4671834123883052,0.00011056452242197423,0.33241987511871507,0.06632362670460819,0.012416745547322652,1.0587623906555947,0.49672250811245916,F,0.01,0.002,0.0006
Normal,6.0,48.399835602517236,109.44477009773254,0.4422306845662603,7.049067717534996e-06,0.42028271996975386,0.05589621521499289,0.00898769258690594,0.9325299062426589,0.47755207816237466,S,0.01,0.002,0.0006
Normal,5.8,22.873002566876284,54.971527099609375,0.4160881782569002,9.594502871745902e-05,0.4255577079430424,0.055708096706126684,0.026044944397225062,0.8798916385423616,0.5059704675254952,S,0.01,0.002,0.0006
Normal,10,8.019716707160127,13.052770853042603,0.614407224140515,0.00011056452242197423,0.33679418675827666,0.13654507590160708,0.0254713281344407,1.029216428175407,0.46762715193116045,F,0.01,0.002,0.0006
BAS,3,11.324966591230687,50.69458556175232,0.22339597938788686,2.0020635824735677e-05,0.31127387019668085,0.03833913952556545,0.004780586150647659,0.8639498057651799,0.6070446719351299,S,0.004642723413256257,-0.0012360914710131921,-0.0011513851114156681
BAS,4,12.257636896279609,39.63532471656799,0.3092604131272774,3.0028223118705455e-05,0.3155060480863452,0.049023482197891474,0.09693253267338729,1.0238698945979265,0.6101518800031871,F,0.001328145793924367,0.007465765692029168,0.00410211804349272
BAS,4,1.5039644022318122,5.550372362136841,0.27096639722614935,3.0033229208026313e-05,0.2928511970357226,0.04557909389710992,0.25722076013925554,1.076288288668734,0.5561712092502352,F,0.007732237047803992,-0.0031244918342407673,-0.002143831214903185
BAS,4,8.678337893371426,26.57739520072937,0.3265307915928971,3.0028223118705455e-05,0.44020989666076993,0.09512571939627777,0.2572225160356631,1.0061752731788631,0.7161833821615156,F,0.011429805875947838,0.00047847701990920514,-0.000798284182250095
BAS,4,18.97090479128877,62.435046911239624,0.3038502528597221,3.0033229208026313e-05,0.39683317665168394,0.04581229745698721,0.023894653195068966,0.907561341054725,0.535322778974486,S,0.007771137193264434,0.0009407663371517645,0.0015246967141454096
BAS,5,19.442166934310944,51.602710485458374,0.3767663898157005,4.004081650199609e-05,0.4732458741734744,0.05697060393524888,0.019954997730222558,0.8988541360778474,0.5306257071699964,S,0.01172714128425575,0.0019306465635992203,0.0019981128366973653
BAS,5,2.85286295493874,8.207231998443604,0.34760354714960523,2.994505816378279e-05,0.28658269305900985,0.05761330095410979,0.25721728436548114,1.0513148107047081,0.643173250526372,F,0.0114509699180257,-0.0005084733424939273,-0.003362589807164638
BAS,5,1.3728267098370712,4.1909706592559814,0.32756772152654196,3.009568778855609e-05,0.141936533039424,0.03688713161871503,0.257224239791239,1.0423633224130788,0.5586140135200961,F,0.008322384218037219,-0.003716752833189937,-0.0032088962319019153
BAS,5,36.31412855502241,97.77607941627502,0.37140094767368886,4.013326131691031e-05,0.5393691203132782,0.06476649113638315,0.01366397075739268,0.9244544767941731,0.48493051253406155,S,0.009118326021431936,0.0036269376075209626,0.00013981621168007063
BAS,6,22.15500156054582,50.9161012172699,0.4351276125013125,2.0035154308928327e-05,0.5376504374890212,0.07264309523624532,0.0333773097853356,0.9166345927568934,0.5045331067078488,S,0.012094359029314269,0.0005315319958698547,0.0028908880646144
BAS,8,10.9237944337176,19.16336727142334,0.5700352280993592,3.0080110636987456e-05,0.1889505986022768,0.055739005023399305,0.06805789953740578,1.0335967536727502,0.6817334451352751,F,0.008522147827136055,-0.0004557642830153494,0.0016730103486939335
BAS,8,14.47501958871184,26.001558303833008,0.5566981570707634,4.0130039516750315e-05,0.2645429766639791,0.07707225447154037,0.07020354973300899,1.054216884409502,0.6427349336436884,F,0.011004382182347337,0.0029154894968781795,-0.00048770798749139246
BAS,8,2.4641469238436065,4.691941976547241,0.5251869985095063,3.0101644080460233e-05,0.21508187278730873,0.054338128473233265,0.06044764336676094,1.09751473611625,0.4769135033902524,F,0.008986442360186395,-0.002101042501214607,-0.0027109529788102446
BAS,8,2.3161668503834667,4.536138296127319,0.5106032266169817,3.0080110636987456e-05,0.17120148810019753,0.05305456182812823,0.04832072151616983,1.0226835280027105,0.4487188985695995,F,0.006892555992713524,-0.003996104853290676,-0.0016423323026558104
